casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx	weightar	maininc	income	expenditure	hhsize
14838	7.4993142168442	1175	1184.99	1	1	1	1	3	1	2	2	1	7	1.43717334218283	0	1184.98999023438	1175	2
14834	10.4835681900223	1116.50813076325	1184.99	1	1	1	1	2	1	2	2	1	7	2.00907767003743	0	1184.98999023438	1116.50817871094	2
14833	5.05867754752347	99.17	148.042	2	1	4	5	1	2	1	1	1	1	.969448179897563	1	148.042007446289	99.1699981689453	1
14832	5.51629939201626	420.315879777909	665.77	1	1	1	1	3	1	5	2	3	8	1.05714712098585	0	665.77001953125	420.315887451172	5
14831	6.04072094628622	186.29	253.884	2	2	4	5	2	1	2	2	1	8	1.15764760090574	1	253.884002685547	186.289993286133	2
14824	4.62274344549765	437.721776717966	617.919	2	1	3	3	3	1	5	4	3	5	.88590549155778	1	617.919006347656	437.721771240234	5
14818	4.57175971107853	436.782918461291	629.135	1	1	1	1	3	1	2	2	1	6	.876134936294538	0	629.135009765625	436.782928466797	2
14814	4.18910984164754	134.459222716566	319.704	2	2	4	5	3	1	2	2	1	10	.802803672150312	1	319.704010009766	134.459228515625	2
14810	3.51160562678949	124.64	161.96	2	2	4	5	1	2	1	1	1	9	.672966333874302	1	161.960006713867	124.639999389648	1
14808	5.26405307226204	254.824410467474	684.41	1	1	2	3	3	1	5	4	2	5	1.00880647597057	0	684.409973144531	254.824417114258	5
14808	5.16516975472383	379.974844307049	1184.99	1	2	1	3	2	1	3	3	1	3	.989856414159143	0	1184.98999023438	379.974853515625	3
14806	5.87595500018811	272.979200272332	192.6045	2	1	4	3	1	1	1	1	1	8	1.12607175028997	1	192.604507446289	272.979187011719	1
14803	6.07083647223136	433.620151799482	473.814	2	2	4	5	3	2	2	2	1	11	1.16341895943569	1	473.813995361328	433.620147705078	2
14800	3.90339667825012	919.218990295616	1043.4	1	1	2	1	3	2	4	2	3	2	.74804941995173	0	1043.40002441406	919.218994140625	4
14788	5.24480057887479	660.199463570516	1184.99	1	1	1	1	3	1	4	2	3	3	1.00511691590326	0	1184.98999023438	660.199462890625	4
14785	5.37378100068006	321.128467809883	540.61	1	1	1	1	3	1	4	2	3	7	1.02983480590254	0	540.609985351563	321.128479003906	4
